latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
-7.52857,-44.93739,304.9,0.79,0.78,2020-10-02,0318,N,VIIRS,n,2.0NRT,293.1,3,N
-7.52731,-44.94389,322.2,0.79,0.78,2020-10-02,0318,N,VIIRS,n,2.0NRT,294,4.9,N
-7.90882,-42.6954,320.5,0.56,0.69,2020-10-02,0318,N,VIIRS,n,2.0NRT,293.2,4.5,N
-7.90242,-42.69444,303.4,0.56,0.69,2020-10-02,0318,N,VIIRS,n,2.0NRT,292.1,1.1,N
-7.91413,-42.69598,304,0.56,0.69,2020-10-02,0318,N,VIIRS,n,2.0NRT,292.8,2,N
-7.90775,-42.69491,318.5,0.56,0.69,2020-10-02,0318,N,VIIRS,n,2.0NRT,293.3,2,N
-7.83711,-42.75577,302.9,0.57,0.69,2020-10-02,0318,N,VIIRS,n,2.0NRT,291.9,2,N
-7.8471,-42.6673,317.9,0.56,0.69,2020-10-02,0318,N,VIIRS,n,2.0NRT,293,4,N
-7.83169,-42.74944,306.4,0.57,0.69,2020-10-02,0318,N,VIIRS,n,2.0NRT,293.5,2,N
-7.83073,-42.75455,317.9,0.57,0.69,2020-10-02,0318,N,VIIRS,n,2.0NRT,293.7,2,N
-7.82976,-42.75969,302.9,0.57,0.69,2020-10-02,0318,N,VIIRS,n,2.0NRT,292.6,4.1,N
-7.62395,-43.62814,305.2,0.65,0.73,2020-10-02,0318,N,VIIRS,n,2.0NRT,294.5,4.2,N
-7.62276,-43.63436,304.9,0.65,0.73,2020-10-02,0318,N,VIIRS,n,2.0NRT,294.2,4.1,N
-7.36238,-44.89945,309.1,0.79,0.78,2020-10-02,0318,N,VIIRS,n,2.0NRT,290.7,2.8,N
-7.36093,-44.90682,330.6,0.79,0.78,2020-10-02,0318,N,VIIRS,n,2.0NRT,292.4,8.5,N
-7.62231,-43.62724,304.9,0.65,0.73,2020-10-02,0318,N,VIIRS,n,2.0NRT,294.3,2.4,N
-7.62115,-43.63351,305.1,0.65,0.73,2020-10-02,0318,N,VIIRS,n,2.0NRT,294.3,2.4,N
-7.36165,-44.90019,314.2,0.79,0.78,2020-10-02,0318,N,VIIRS,n,2.0NRT,290.9,4,N
-7.36025,-44.90756,326.4,0.8,0.78,2020-10-02,0318,N,VIIRS,n,2.0NRT,292.1,4,N
-7.30812,-42.69485,304.3,0.57,0.69,2020-10-02,0318,N,VIIRS,n,2.0NRT,292.9,2.7,N
-7.30071,-42.69899,314.5,0.57,0.69,2020-10-02,0318,N,VIIRS,n,2.0NRT,293.3,2.5,N
-7.29972,-42.70431,306.6,0.57,0.69,2020-10-02,0318,N,VIIRS,n,2.0NRT,293,2.5,N
-7.29928,-42.67107,309.1,0.57,0.69,2020-10-02,0318,N,VIIRS,n,2.0NRT,292.3,2.7,N
-7.29327,-42.70324,317.9,0.57,0.69,2020-10-02,0318,N,VIIRS,n,2.0NRT,294.3,2.5,N
-7.29227,-42.7086,332.7,0.57,0.69,2020-10-02,0318,N,VIIRS,n,2.0NRT,294.9,7.4,N
-7.29284,-42.67,306.1,0.57,0.69,2020-10-02,0318,N,VIIRS,n,2.0NRT,292.2,1.6,N
-7.29185,-42.6753,319.4,0.57,0.69,2020-10-02,0318,N,VIIRS,n,2.0NRT,293.1,3.4,N
-7.28986,-42.68596,315.3,0.57,0.69,2020-10-02,0318,N,VIIRS,n,2.0NRT,293.1,3.3,N
-7.28885,-42.69136,315.8,0.57,0.69,2020-10-02,0318,N,VIIRS,n,2.0NRT,293.3,3.3,N
-7.28783,-42.69679,309.1,0.57,0.69,2020-10-02,0318,N,VIIRS,n,2.0NRT,293,3.4,N
-7.29086,-42.6806,321.9,0.57,0.69,2020-10-02,0318,N,VIIRS,n,2.0NRT,293.1,3.4,N
-7.09971,-43.5845,308,0.66,0.73,2020-10-02,0318,N,VIIRS,n,2.0NRT,292.2,2.5,N
-7.09183,-43.589,305.3,0.66,0.73,2020-10-02,0318,N,VIIRS,n,2.0NRT,292.7,2.2,N
-7.09869,-43.58494,311.8,0.66,0.73,2020-10-02,0318,N,VIIRS,n,2.0NRT,292.3,2.3,N
